Id,Model,Price,Age,KM,HP,Metallic,Automatic,CC,Doors,Gears,Weight,Color
203,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,52084,97,1,0,1400,3,5,1025,Yellow
204,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,52000,97,0,0,1400,3,5,1025,Black
205,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,51945,110,1,0,1600,5,5,1075,Green
206,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,51732,97,1,0,1400,3,5,1025,Green
207,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,50873,110,1,0,1600,5,5,1075,Blue
208,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,41,50856,110,0,0,1600,4,5,1030,Green
209,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,50640,110,1,0,1600,5,5,1075,Blue
210,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,50000,97,1,0,1400,5,5,1060,Black
211,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,49500,110,1,0,1600,5,5,1075,Blue
212,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,49332,110,1,0,1600,5,5,1080,Red
213,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,49291,110,1,0,1600,3,5,1040,Black
214,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,48945,110,0,0,1600,3,5,1040,Red
215,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,48197,110,1,0,1600,5,5,1075,Black
216,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,48011,110,1,0,1600,4,5,1030,Blue
217,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,43,48000,110,1,0,1600,5,5,1075,Red
218,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,47350,110,1,0,1600,5,5,1075,Grey
219,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,46821,97,1,0,1400,5,5,1060,Red
220,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,46694,110,0,0,1600,3,5,1040,Red
221,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,46515,97,0,0,1400,5,5,1025,Red
222,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,46327,110,1,0,1600,3,5,1055,Black
223,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,46304,97,1,0,1400,5,5,1060,Green
224,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,45886,110,1,0,1600,5,5,1080,Green
225,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,39,45713,97,1,0,1400,5,5,1085,Blue
226,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,45600,110,1,1,1600,5,5,1105,Grey
227,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,45287,110,1,0,1600,5,5,1075,Red
228,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,45081,110,1,0,1600,5,5,1075,Grey
229,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,44830,110,1,0,1600,5,5,1075,Green
230,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,44757,97,0,0,1400,3,5,1025,Red
231,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,44,44218,97,1,0,1400,5,5,1060,Grey
232,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,43632,110,1,0,1600,5,5,1075,Blue
233,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,43427,110,1,0,1600,3,5,1040,Green
234,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,39,43254,110,1,0,1600,5,5,1075,Red
235,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,35,43000,110,0,0,1600,3,5,1050,White
236,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,33,42823,110,1,0,1600,5,5,1075,Red
237,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,42,42560,110,1,0,1600,5,5,1080,Silver
238,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,41754,110,0,0,1600,3,5,1040,Red
239,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,41339,110,1,0,1600,5,5,1080,Blue
240,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,35,41000,110,1,0,1600,5,5,1075,Grey
241,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,39,40000,110,1,0,1600,3,5,1055,Grey
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,37,39757,110,1,0,1600,5,5,1075,Blue
243,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,41,39659,110,1,0,1600,3,5,1045,Green
244,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,43,39650,110,0,0,1600,3,5,1055,Blue
245,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,39,39524,97,1,0,1398,3,5,1025,Grey
246,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,44,39516,97,1,0,1400,5,5,1060,Grey
247,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,41,39439,97,0,0,1400,5,5,1060,Grey
248,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,44,39000,97,1,0,1400,3,5,1025,Blue
249,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,42,38932,110,1,0,1600,3,5,1040,Green
250,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,38812,97,0,0,1400,3,5,1025,Red
251,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12450,42,38665,110,1,0,1600,5,5,1075,Green
252,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,38653,110,1,0,1600,5,5,1080,Green
253,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13995,44,38461,110,1,0,1600,5,5,1080,Grey
254,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,42,38078,97,0,0,1400,3,5,1025,Grey
255,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,37782,97,1,0,1400,5,5,1060,Red
256,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,9950,43,37576,97,0,0,1400,3,5,1030,Grey
257,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,37533,110,1,0,1600,5,5,1075,Green
258,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,44,37389,110,1,0,1600,5,5,1080,Black
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,37320,97,1,0,1400,3,5,1025,Blue
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9900,42,37000,97,1,0,1400,3,5,1025,Green
261,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,37000,110,0,0,1600,4,5,1075,Green
262,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11990,40,36566,110,0,0,1600,5,5,1090,Red
263,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,36269,110,1,0,1600,5,5,1075,Blue
264,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,13950,37,36074,110,1,1,1600,5,5,1075,Silver
265,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,36066,110,1,0,1600,3,5,1040,Black
266,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,34599,110,1,0,1600,5,5,1075,Grey
267,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,34000,110,1,0,1600,5,5,1075,Red
268,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,33623,97,1,0,1400,3,5,1025,Grey
269,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,33591,110,1,0,1600,5,5,1075,Red
270,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,33258,110,1,0,1600,5,5,1075,Grey
271,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,33113,110,1,0,1600,5,5,1075,Red
272,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,33000,110,1,1,1600,5,6,1075,Silver
273,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,32941,110,1,0,1600,5,5,1080,Yellow
274,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,32781,110,0,0,1600,5,5,1075,Blue
275,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,32532,110,1,0,1600,3,5,1040,Black
276,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,32431,97,1,0,1400,5,5,1060,Silver
277,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,32000,110,0,0,1600,3,5,1040,Black
278,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,12900,33,31000,110,1,0,1600,5,5,1075,Silver
279,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,30989,110,0,0,1600,3,5,1045,Green
280,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,30742,110,1,0,1600,3,5,1040,Silver
281,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,30190,110,1,0,1600,5,5,1075,Red
282,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,11900,41,29716,116,1,0,1600,5,5,1075,Grey
283,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,29716,110,1,1,1600,3,5,1070,Silver
284,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,29640,110,0,0,1600,3,5,1055,Red
285,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,29056,97,1,0,1400,5,5,1060,Grey
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,28715,110,1,0,1600,5,5,1075,Grey
287,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,28571,110,0,0,1600,5,5,1090,Red
288,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,28362,110,1,0,1600,3,5,1040,Blue
289,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,28150,110,1,0,1600,5,5,1075,Red
290,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,27301,110,1,0,1600,3,5,1040,Grey
291,TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,12750,33,27240,110,1,0,1600,5,5,1075,Blue
292,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,27170,97,1,0,1400,5,5,1060,Yellow
293,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,27141,97,1,0,1400,5,5,1060,Green
294,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,26262,110,1,0,1600,5,5,1075,Grey
295,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,26000,97,1,0,1400,5,5,1060,Grey
296,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,25228,110,1,0,1600,3,5,1045,Blue
297,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,25062,110,1,0,1600,5,5,1080,Green
298,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,24723,110,1,1,1600,4,5,1060,Green
299,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,24650,110,1,0,1600,3,5,1055,Black
300,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,24553,110,1,0,1600,5,5,1080,Green
301,TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,24475,110,1,0,1600,5,5,1030,Red
302,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,24444,110,1,0,1600,3,5,1040,Blue
303,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,24011,97,0,0,1400,3,5,1025,Grey
304,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,24000,97,1,0,1400,3,5,1025,Grey
305,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,23616,110,1,0,1600,5,5,1075,Green
306,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,22865,110,1,0,1600,5,5,1075,Silver
307,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,22780,86,1,0,1300,5,5,1035,Green
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,21904,97,0,0,1400,3,5,1025,Blue
309,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,21651,97,0,0,1400,3,5,1025,Green
310,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,21500,110,1,0,1600,5,5,1030,Red
311,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,21027,110,1,0,1600,5,5,1080,Green
312,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,18500,110,0,0,1600,4,5,1030,Red
313,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,18000,110,1,0,1600,5,5,1075,Green
314,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,17051,97,0,0,1400,5,5,1060,Grey
315,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,16512,97,1,0,1400,5,5,1085,Grey
316,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,16325,110,1,0,1600,5,5,1080,Silver
317,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,16000,97,1,0,1400,5,5,1060,Grey
318,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,12000,110,1,0,1600,5,5,1075,Green
319,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,10000,97,1,0,1400,5,5,1060,Blue
320,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,146736,110,1,0,1600,5,5,1080,Silver
321,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,131364,110,1,0,1600,5,5,1075,Black
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,126110,110,0,0,1600,3,5,1055,Black
323,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,119742,110,1,0,1600,5,5,1080,Blue
324,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,117175,110,1,0,1600,4,5,1035,Green
325,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,115558,110,1,0,1600,4,5,1035,Blue
326,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,115113,97,1,0,1400,3,5,1025,Grey
327,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,107859,97,0,0,1400,5,5,1060,Blue
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,104805,97,1,0,1400,3,5,1025,Black
329,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,103454,110,1,0,1600,5,5,1075,Green
330,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,102352,110,1,0,1600,5,5,1080,Red
331,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,102030,97,1,0,1400,5,5,1060,Green
332,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,101352,110,0,0,1600,5,5,1080,Red
333,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,99865,110,1,0,1600,4,5,1035,Red
334,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,99323,110,1,0,1600,3,5,1055,Black
335,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,98040,110,0,0,1600,5,5,1080,Grey
336,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,97600,110,1,0,1600,3,5,1045,Silver
337,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,97234,110,0,0,1600,5,5,1080,Blue
338,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,96100,110,1,0,1600,5,5,1080,Green
339,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,94122,86,1,0,1300,3,5,1015,Blue
340,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,91340,110,1,0,1600,3,5,1055,Blue
341,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,90200,97,0,0,1400,3,5,1025,White
342,TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,89049,97,1,0,1400,5,5,1060,Black
343,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,89000,110,0,0,1600,5,5,1075,Grey
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,87274,110,1,0,1600,3,5,1040,Grey
345,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,86221,110,0,0,1600,3,5,1045,Grey
346,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,84598,110,0,0,1600,5,5,1075,Red
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,83567,110,0,0,1600,5,5,1075,Green
348,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,83106,110,1,0,1600,5,5,1075,Silver
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,82805,110,1,0,1600,3,5,1040,Green
350,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,82735,97,1,0,1400,3,5,1030,Black
351,TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,81905,110,1,0,1600,5,5,1105,Green
352,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,80320,110,1,1,1600,3,5,1070,Silver
353,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,80090,97,1,0,1400,3,5,1030,Silver
354,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,79800,110,0,0,1600,5,5,1075,Red
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,78600,110,1,0,1600,5,5,1075,Blue
356,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,77780,110,0,0,1600,3,5,1040,Red
357,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,77648,110,0,0,1600,4,5,1030,Red
358,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,77270,110,1,0,1600,4,5,1035,Blue
359,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,76167,97,1,0,1400,5,5,1060,Blue
360,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,75249,110,1,0,1600,4,5,1035,Red
361,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,75231,110,1,0,1600,5,5,1080,Grey
362,TOYOTA Corolla 1.6 G6 HB 2/3-Doors,11750,48,75045,110,1,0,1600,3,6,1055,Silver
363,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,10950,50,74849,110,1,1,1600,4,5,1060,Red
364,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,55,74715,110,1,0,1600,5,5,1080,Grey
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,56,74500,97,0,0,1400,3,5,1025,Grey
366,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,8900,49,74494,110,1,0,1600,5,5,1075,Grey
367,TOYOTA Corolla 1.6 4/5-Doors,10500,50,73634,110,0,0,1587,5,5,1075,Blue
368,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,73403,110,1,0,1600,5,5,1075,Grey
369,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11450,49,73175,97,1,0,1400,3,5,1030,Silver
370,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12000,52,73000,110,0,0,1600,3,5,1055,Grey
371,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,50,72242,110,0,1,1600,3,5,1070,Blue
372,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9850,53,72000,97,1,0,1400,3,5,1025,Green
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,54,71725,110,1,0,1600,4,5,1035,Blue
374,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,71276,110,0,0,1600,5,5,1080,Green
375,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10990,53,70239,110,0,0,1600,3,5,1040,Blue
376,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,55,69813,97,1,0,1400,3,5,1025,Silver
377,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,11950,49,69659,86,0,0,1300,3,6,1025,Red
378,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,46,69574,97,0,0,1400,5,5,1065,Blue
379,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,8750,49,68565,110,1,0,1600,4,5,1030,Blue
380,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,46,68414,97,0,0,1400,3,5,1025,Red
381,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,11950,56,66777,110,0,0,1600,5,5,1090,Red
382,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,52,66527,110,1,0,1600,5,5,1080,Blue
383,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11250,54,66063,110,1,0,1600,5,5,1090,Black
384,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,50,65471,97,1,0,1400,5,5,1060,Green
385,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,65400,97,1,0,1400,3,5,1025,Silver
386,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,52,65170,97,1,0,1400,3,5,1025,Grey
387,TOYOTA Corolla 1.6 sol lb 4/5-Doors,11950,56,65000,110,1,0,1600,5,5,1075,Silver
388,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10450,48,64193,110,1,0,1600,3,5,1040,Grey
389,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,54,64000,97,1,0,1400,3,5,1025,Blue
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10250,54,63792,110,1,0,1600,5,5,1075,Green
391,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,9930,53,63635,110,1,0,1600,4,5,1035,Blue
392,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,54,63135,110,1,0,1600,3,5,1050,Blue
393,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11950,54,63123,110,1,0,1600,4,5,1035,Silver
394,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11500,55,63000,110,0,0,1600,4,5,1035,Green
395,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,54,62987,110,0,0,1600,5,5,1080,Red
396,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9900,56,62751,110,0,0,1600,3,5,1050,Red
397,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,54,62519,97,0,0,1400,3,5,1025,Black
398,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,62280,97,1,0,1400,5,5,1060,Green
399,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10750,50,61672,110,0,0,1600,5,5,1075,Blue
400,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,12000,56,61000,110,1,0,1600,3,5,1050,Black
401,TOYOTA Corolla ! 1.6-16v vvt-i sol airco sedan 4/5-Doors,9940,53,60558,110,1,0,1600,4,5,1105,Blue
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,47,60348,110,0,0,1600,4,5,1030,Green
403,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10750,54,60239,110,1,0,1600,5,5,1075,Green
404,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,9799,51,59000,97,1,0,1400,3,5,1025,Silver
405,TOYOTA Corolla 1.4 VVT-i Linea Luna liftback 4/5-Doors,11750,51,58761,97,0,0,1300,5,5,1060,Silver
406,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,58745,110,1,0,1600,4,5,1035,Blue
407,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11250,52,58596,110,1,0,1600,3,5,1045,Blue
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,11750,54,58530,110,0,0,1600,5,5,1075,Red
409,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,10950,55,58377,110,1,0,1600,3,5,1050,Black
